ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
4860,830.0,125.0,360.0,1.0
4300,2014.0,194.0,360.0,1.0
2213,1125.0,128.0,360.0,1.0
6700,1750.0,230.0,300.0,1.0
9328,0.0,188.0,180.0,1.0
3716,0.0,42.0,180.0,1.0
4416,1250.0,110.0,360.0,1.0
3427,0.0,138.0,360.0,1.0
2383,3334.0,172.0,360.0,1.0
2661,7101.0,279.0,180.0,1.0
7085,0.0,84.0,360.0,1.0
9323,7873.0,380.0,300.0,1.0
5800,0.0,132.0,360.0,1.0
6000,0.0,140.0,360.0,1.0
5050,0.0,118.0,360.0,1.0
3975,2531.0,55.0,360.0,1.0
5417,0.0,168.0,360.0,1.0
3173,0.0,74.0,360.0,1.0
3036,2504.0,158.0,360.0,0.0
3588,0.0,110.0,360.0,0.0
2600,3500.0,115.0,360.0,1.0
4344,736.0,87.0,360.0,1.0
3015,2188.0,153.0,360.0,1.0
2132,1591.0,96.0,360.0,1.0
2000,0.0,128.0,360.0,1.0
2378,0.0,46.0,360.0,1.0
7740,0.0,128.0,180.0,1.0
4917,0.0,130.0,360.0,0.0
2473,1843.0,159.0,360.0,1.0
4000,2275.0,144.0,360.0,1.0
2625,6250.0,187.0,360.0,1.0
9560,0.0,191.0,360.0,1.0
2483,2466.0,90.0,180.0,0.0
6250,0.0,128.0,360.0,1.0
7142,0.0,138.0,360.0,1.0
18333,0.0,500.0,360.0,1.0
2400,0.0,75.0,360.0,1.0
3598,1287.0,100.0,360.0,1.0
4095,3447.0,151.0,360.0,1.0
2600,0.0,160.0,360.0,1.0
3927,800.0,112.0,360.0,1.0
2947,1603.0,128.0,360.0,1.0
3010,3136.0,128.0,360.0,0.0
5829,0.0,138.0,360.0,1.0
3254,0.0,50.0,360.0,1.0
23803,0.0,370.0,360.0,1.0
5746,0.0,144.0,84.0,1.0
1025,5500.0,216.0,360.0,1.0
4301,0.0,118.0,360.0,1.0
2045,1619.0,101.0,360.0,1.0
3167,0.0,74.0,360.0,1.0
7451,0.0,128.0,360.0,1.0
3365,1917.0,112.0,360.0,0.0
3497,1964.0,116.0,360.0,1.0
2378,0.0,9.0,360.0,1.0
3200,2254.0,126.0,180.0,0.0
3366,2200.0,135.0,360.0,1.0
8666,4983.0,376.0,360.0,0.0
4735,0.0,138.0,360.0,1.0
3510,0.0,76.0,360.0,0.0
